Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,JobFlow.API.csproj,File,JobFlow.API.csproj,,,Microsoft.AspNet.WebApi.Core 5.3.0,,,,,"Microsoft.AspNet.WebApi.Core, 5.3.0  Recommendation:  No supported version found"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,JobFlow.API.csproj,File,JobFlow.API.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 8.0.14,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 8.0.14  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,JobFlow.API.csproj,File,JobFlow.API.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.14,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 8.0.14  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,JobFlow.API.csproj,File,JobFlow.API.csproj,,,Microsoft.AspNetCore.SignalR 1.2.0,,,,,"Microsoft.AspNetCore.SignalR, 1.2.0  Recommendation:  Remove Microsoft.AspNetCore.SignalR, and replace with new package Microsoft.AspNetCore.SignalR.Client 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,JobFlow.API.csproj,File,JobFlow.API.csproj,,,Microsoft.EntityFrameworkCore 9.0.2,,,,,"Microsoft.EntityFrameworkCore, 9.0.2  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,JobFlow.API.csproj,File,JobFlow.API.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.2,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.2  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,JobFlow.API.csproj,File,JobFlow.API.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 9.0.2,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 9.0.2  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,JobFlow.API.csproj,File,JobFlow.API.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.2,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.2  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,JobFlow.API.csproj,File,JobFlow.API.csproj,,,System.Text.Json 9.0.2,,,,,"System.Text.Json, 9.0.2  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.3"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,JobFlow.API.csproj,File,JobFlow.API.csproj,,,Azure.Identity 1.13.2,,,,,"Azure.Identity, 1.13.2  Recommendation:  This version takes a dependency on a deprecated version of MSAL .NET (Microsoft.Identity.Client). Remove Azure.Identity, and replace with new package Azure.Identity, 1.17.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,JobFlow.API.csproj,File,JobFlow.API.csproj,,,FluentValidation.AspNetCore 11.3.0,,,,,"FluentValidation.AspNetCore, 11.3.0  Recommendation:  Should be replaced. Remove FluentValidation.AspNetCore, and replace with new package FluentValidation.AspNetCore, 11.3.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,JobFlow.API.csproj,File,JobFlow.API.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,JobFlow.API.csproj,File,Program.cs,292,0,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(app.Environment.IsProduction() ? ""/error"" : ""/error-development"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,JobFlow.API.csproj,File,Program.cs,261,0,M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddConsole(Microsoft.Extensions.Logging.ILoggingBuilder),,,,,builder.Logging.AddConsole();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,JobFlow.API.csproj,File,Program.cs,181,12,T:System.Uri,,,,,var host = new Uri(origin).Host;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,JobFlow.API.csproj,File,Program.cs,181,12,M:System.Uri.#ctor(System.String),,,,,var host = new Uri(origin).Host;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,JobFlow.API.csproj,File,Program.cs,130,0,M:System.TimeSpan.FromSeconds(System.Double),,,,,"builder.Services.AddHangfire(cfg =>      cfg.UseSqlServerStorage(appConnectionString, new SqlServerStorageOptions      {          SchemaName = ConfigConstants.HANGFIRE_SCHEMA_NAME,          CommandBatchMaxTimeout = TimeSpan.FromMinutes(5),          SlidingInvisibilityTimeout = TimeSpan.FromMinutes(5),          QueuePollInterval = TimeSpan.FromSeconds(15),          UseRecommendedIsolationLevel = true,          DisableGlobalLocks = true      }));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,JobFlow.API.csproj,File,Program.cs,130,0,M:System.TimeSpan.FromMinutes(System.Double),,,,,"builder.Services.AddHangfire(cfg =>      cfg.UseSqlServerStorage(appConnectionString, new SqlServerStorageOptions      {          SchemaName = ConfigConstants.HANGFIRE_SCHEMA_NAME,          CommandBatchMaxTimeout = TimeSpan.FromMinutes(5),          SlidingInvisibilityTimeout = TimeSpan.FromMinutes(5),          QueuePollInterval = TimeSpan.FromSeconds(15),          UseRecommendedIsolationLevel = true,          DisableGlobalLocks = true      }));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,JobFlow.API.csproj,File,Program.cs,130,0,M:System.TimeSpan.FromMinutes(System.Double),,,,,"builder.Services.AddHangfire(cfg =>      cfg.UseSqlServerStorage(appConnectionString, new SqlServerStorageOptions      {          SchemaName = ConfigConstants.HANGFIRE_SCHEMA_NAME,          CommandBatchMaxTimeout = TimeSpan.FromMinutes(5),          SlidingInvisibilityTimeout = TimeSpan.FromMinutes(5),          QueuePollInterval = TimeSpan.FromSeconds(15),          UseRecommendedIsolationLevel = true,          DisableGlobalLocks = true      }));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,JobFlow.API.csproj,File,Program.cs,123,4,M:System.TimeSpan.FromSeconds(System.Double),,,,,"b.EnableRetryOnFailure(8, TimeSpan.FromSeconds(10), null);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JobFlow.API.csproj,File,Program.cs,67,0,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"builder.Services.Configure<PaymentSettings>(builder.Configuration.GetSection(""Payments""));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JobFlow.API.csproj,File,Program.cs,64,0,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"builder.Services.Configure<BackendSettings>(builder.Configuration.GetSection(""Backend""));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JobFlow.API.csproj,File,Program.cs,61,0,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"builder.Services.Configure<FrontEndSettings>(builder.Configuration.GetSection(""Frontend""));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,JobFlow.API.csproj,File,Program.cs,54,4,T:System.Uri,,,,,"builder.Configuration.AddAzureKeyVault(new Uri(keyVaultUri), new DefaultAzureCredential());"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,JobFlow.API.csproj,File,Program.cs,54,4,M:System.Uri.#ctor(System.String),,,,,"builder.Configuration.AddAzureKeyVault(new Uri(keyVaultUri), new DefaultAzureCredential());"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,JobFlow.API.csproj,File,Program.cs,54,4,T:Microsoft.Extensions.Configuration.AzureKeyVaultConfigurationExtensions,,,,,"builder.Configuration.AddAzureKeyVault(new Uri(keyVaultUri), new DefaultAzureCredential());"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Business\JobFlow.Business.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Business\JobFlow.Business.csproj,,,Microsoft.EntityFrameworkCore 9.0.2,,,,,"Microsoft.EntityFrameworkCore, 9.0.2  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Business\JobFlow.Business.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Business\JobFlow.Business.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.2,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.2  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Business\JobFlow.Business.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Business\JobFlow.Business.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Domain\JobFlow.Domain.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Domain\JobFlow.Domain.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.14,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 8.0.14  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Domain\JobFlow.Domain.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Domain\JobFlow.Domain.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,,,Microsoft.EntityFrameworkCore 9.0.2,,,,,"Microsoft.EntityFrameworkCore, 9.0.2  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.2,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.2  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.2,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.2  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,,,Microsoft.Extensions.Hosting.Abstractions 8.0.1,,,,,"Microsoft.Extensions.Hosting.Abstractions, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Hosting.Abstractions, and replace with new package Microsoft.Extensions.Hosting.Abstractions 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,,,Microsoft.Extensions.Http 8.0.1,,,,,"Microsoft.Extensions.Http, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,,,System.Formats.Asn1 9.0.2,,,,,"System.Formats.Asn1, 9.0.2  Recommendation:  Remove System.Formats.Asn1, and replace with new package System.Formats.Asn1 10.0.3"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,,,System.Net.Http 4.3.4,,,,,"System.Net.Http, 4.3.4  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\ExternalServices\ReCAPTCHA\ReCAPTCHAService.cs,36,8,T:System.Net.Http.HttpContent,,,,,var json = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\Extensions\ServiceCollectionExtensions.cs,13,12,T:System.Uri,,,,,"client.BaseAddress = new Uri(""https://api.brevo.com/v3/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\Extensions\ServiceCollectionExtensions.cs,13,12,M:System.Uri.#ctor(System.String),,,,,"client.BaseAddress = new Uri(""https://api.brevo.com/v3/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\Extensions\ServiceCollectionExtensions.cs,13,12,T:System.Uri,,,,,"client.BaseAddress = new Uri(""https://api.brevo.com/v3/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\Extensions\ServiceCollectionExtensions.cs,10,8,"M:Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions.AddHttpClient(Microsoft.Extensions.DependencyInjection.IServiceCollection,System.String,System.Action{System.IServiceProvider,System.Net.Http.HttpClient})",,,,,"services.AddHttpClient(JobFlowNamedClient.Brevo, (sp, client) =>          {              var brevoSettings = sp.GetRequiredService<IBrevoSettings>();              client.BaseAddress = new Uri(""https://api.brevo.com/v3/"");              client.DefaultRequestHeaders.Add(""api-key"", brevoSettings.ApiKey);          });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\Common\PollyPolicies.cs,29,8,M:System.TimeSpan.FromMinutes(System.Double),,,,,"return Policy.Handle<Exception>()              .CircuitBreakerAsync(                  5,                  TimeSpan.FromMinutes(1),                  (ex, breakDelay) =>                  {                      Console.WriteLine($""[Polly] Circuit open for {breakDelay.TotalSeconds}s: {ex.Message}"");                  },                  () => Console.WriteLine(""[Polly] Circuit closed.""),                  () => Console.WriteLine(""[Polly] Circuit half-open; testing…""));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\JobFlow.Infrastructure.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure\Common\PollyPolicies.cs,13,8,M:System.TimeSpan.FromSeconds(System.Double),,,,,"return Policy.Handle<Exception>()              .WaitAndRetryAsync(                  3,                  attempt => TimeSpan.FromSeconds(Math.Pow(2, attempt)),                  (ex, ts, retry, ctx) =>                  {                      // TODO: Replace with your ILogger if you want                      Console.WriteLine($""[Polly] Retry {retry} after {ts.TotalSeconds}s: {ex.Message}"");                  });"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure.Persistence\JobFlow.Infrastructure.Persistence.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure.Persistence\JobFlow.Infrastructure.Persistence.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.14,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 8.0.14  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure.Persistence\JobFlow.Infrastructure.Persistence.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure.Persistence\JobFlow.Infrastructure.Persistence.csproj,,,Microsoft.EntityFrameworkCore 9.0.2,,,,,"Microsoft.EntityFrameworkCore, 9.0.2  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure.Persistence\JobFlow.Infrastructure.Persistence.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure.Persistence\JobFlow.Infrastructure.Persistence.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.2,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.2  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure.Persistence\JobFlow.Infrastructure.Persistence.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure.Persistence\JobFlow.Infrastructure.Persistence.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 9.0.2,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 9.0.2  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure.Persistence\JobFlow.Infrastructure.Persistence.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure.Persistence\JobFlow.Infrastructure.Persistence.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.2,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.2  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure.Persistence\JobFlow.Infrastructure.Persistence.csproj,File,%USERPROFILE%\repos\JobFlow-API\JobFlow.Infrastructure.Persistence\JobFlow.Infrastructure.Persistence.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
